Title:,Trace 1
Model:,N9320B
Serial Number:,CN03230304
Center Frequency:,1420400000.000000,Hz
Span:,2000000.000000,Hz
Resolution Bandwidth:,30000.000000,Hz
Video Bandwidth:,30000.000000,Hz
Reference Level:,-95.000000,dBm
Sweep Time:,1.000000,s
Num Points:,461
Units,Hz,dBm
No.,Frequecncy(Hz),Amplitude(dBm)
1,1419400000.000000,-1.005537033e+02
2,1419404347.826087,-1.005661774e+02
3,1419408695.652174,-1.005530548e+02
4,1419413043.478261,-1.005189514e+02
5,1419417391.304348,-1.005532761e+02
6,1419421739.130435,-1.005064316e+02
7,1419426086.956522,-1.005404663e+02
8,1419430434.782609,-1.005425415e+02
9,1419434782.608696,-1.004655457e+02
10,1419439130.434783,-1.006722107e+02
11,1419443478.260870,-1.003997498e+02
12,1419447826.086957,-1.002835236e+02
13,1419452173.913043,-1.003816223e+02
14,1419456521.739130,-1.004039993e+02
15,1419460869.565217,-1.004686432e+02
16,1419465217.391304,-1.004969406e+02
17,1419469565.217391,-1.003317566e+02
18,1419473913.043478,-1.003619919e+02
19,1419478260.869565,-1.004363861e+02
20,1419482608.695652,-1.003577042e+02
21,1419486956.521739,-1.005354538e+02
22,1419491304.347826,-1.003374939e+02
23,1419495652.173913,-1.004114685e+02
24,1419500000.000000,-1.004299545e+02
25,1419504347.826087,-1.004445953e+02
26,1419508695.652174,-1.003960800e+02
27,1419513043.478261,-1.004256210e+02
28,1419517391.304348,-1.003633575e+02
29,1419521739.130435,-1.004631577e+02
30,1419526086.956522,-1.005458832e+02
31,1419530434.782609,-1.003289795e+02
32,1419534782.608696,-1.002745209e+02
33,1419539130.434783,-1.005094070e+02
34,1419543478.260870,-1.004039154e+02
35,1419547826.086957,-1.004817200e+02
36,1419552173.913043,-1.003787537e+02
37,1419556521.739130,-1.004093628e+02
38,1419560869.565217,-1.003608246e+02
39,1419565217.391304,-1.003593063e+02
40,1419569565.217391,-1.005017395e+02
41,1419573913.043478,-1.004193115e+02
42,1419578260.869565,-1.003998337e+02
43,1419582608.695652,-1.004514084e+02
44,1419586956.521739,-1.004888611e+02
45,1419591304.347826,-1.005291367e+02
46,1419595652.173913,-1.005473328e+02
47,1419600000.000000,-1.003777390e+02
48,1419604347.826087,-1.005600739e+02
49,1419608695.652174,-1.004712067e+02
50,1419613043.478261,-1.003379898e+02
51,1419617391.304348,-1.004574051e+02
52,1419621739.130435,-1.004695969e+02
53,1419626086.956522,-1.004343033e+02
54,1419630434.782609,-1.004155350e+02
55,1419634782.608696,-1.004352722e+02
56,1419639130.434783,-1.004931107e+02
57,1419643478.260870,-1.004554138e+02
58,1419647826.086957,-1.004733505e+02
59,1419652173.913043,-1.005174637e+02
60,1419656521.739130,-1.004145889e+02
61,1419660869.565217,-1.005347977e+02
62,1419665217.391304,-1.003908768e+02
63,1419669565.217391,-1.003559189e+02
64,1419673913.043478,-1.004385529e+02
65,1419678260.869565,-1.003723679e+02
66,1419682608.695652,-1.004736252e+02
67,1419686956.521739,-1.004781036e+02
68,1419691304.347826,-1.004413986e+02
69,1419695652.173913,-1.004094086e+02
70,1419700000.000000,-1.005178986e+02
71,1419704347.826087,-1.005628128e+02
72,1419708695.652174,-1.005195236e+02
73,1419713043.478261,-1.003929214e+02
74,1419717391.304348,-1.004117966e+02
75,1419721739.130435,-1.004707718e+02
76,1419726086.956522,-1.004967880e+02
77,1419730434.782609,-1.003133698e+02
78,1419734782.608696,-1.003502960e+02
79,1419739130.434783,-1.004165955e+02
80,1419743478.260870,-1.004565582e+02
81,1419747826.086957,-1.002997284e+02
82,1419752173.913043,-1.003863297e+02
83,1419756521.739130,-1.003105392e+02
84,1419760869.565217,-1.003407440e+02
85,1419765217.391304,-1.003257980e+02
86,1419769565.217391,-1.003159485e+02
87,1419773913.043478,-1.003759308e+02
88,1419778260.869565,-1.002603912e+02
89,1419782608.695652,-1.004986572e+02
90,1419786956.521739,-1.002634354e+02
91,1419791304.347826,-1.004413757e+02
92,1419795652.173913,-1.005607986e+02
93,1419800000.000000,-1.004741058e+02
94,1419804347.826087,-1.004596481e+02
95,1419808695.652174,-1.003624496e+02
96,1419813043.478261,-1.003886490e+02
97,1419817391.304348,-1.004939423e+02
98,1419821739.130435,-1.005352936e+02
99,1419826086.956522,-1.003327637e+02
100,1419830434.782609,-1.003484421e+02
101,1419834782.608696,-1.003332748e+02
102,1419839130.434783,-1.003989944e+02
103,1419843478.260870,-1.003046112e+02
104,1419847826.086957,-1.003985748e+02
105,1419852173.913043,-1.003597946e+02
106,1419856521.739130,-1.004072723e+02
107,1419860869.565217,-1.004831619e+02
108,1419865217.391304,-1.003968277e+02
109,1419869565.217391,-1.004302292e+02
110,1419873913.043478,-1.004657288e+02
111,1419878260.869565,-1.005372162e+02
112,1419882608.695652,-1.003668442e+02
113,1419886956.521739,-1.003751526e+02
114,1419891304.347826,-1.003875427e+02
115,1419895652.173913,-1.002692184e+02
116,1419900000.000000,-1.004358368e+02
117,1419904347.826087,-1.003778992e+02
118,1419908695.652174,-1.003790436e+02
119,1419913043.478261,-1.003392792e+02
120,1419917391.304348,-1.003562698e+02
121,1419921739.130435,-1.003119507e+02
122,1419926086.956522,-1.003303986e+02
123,1419930434.782609,-1.004130936e+02
124,1419934782.608696,-1.002432098e+02
125,1419939130.434783,-1.004014282e+02
126,1419943478.260870,-1.004775543e+02
127,1419947826.086957,-1.003279037e+02
128,1419952173.913043,-1.004342804e+02
129,1419956521.739130,-1.004456940e+02
130,1419960869.565217,-1.004445572e+02
131,1419965217.391304,-1.004606247e+02
132,1419969565.217391,-1.003969193e+02
133,1419973913.043478,-1.003327179e+02
134,1419978260.869565,-1.004338379e+02
135,1419982608.695652,-1.004443054e+02
136,1419986956.521739,-1.005274734e+02
137,1419991304.347826,-1.004075928e+02
138,1419995652.173913,-1.004546280e+02
139,1420000000.000000,-1.004859543e+02
140,1420004347.826087,-1.004331055e+02
141,1420008695.652174,-1.003276062e+02
142,1420013043.478261,-1.004535522e+02
143,1420017391.304348,-1.003874893e+02
144,1420021739.130435,-1.003127060e+02
145,1420026086.956522,-1.004101181e+02
146,1420030434.782609,-1.002641830e+02
147,1420034782.608696,-1.004920578e+02
148,1420039130.434783,-1.003347931e+02
149,1420043478.260870,-1.003597717e+02
150,1420047826.086957,-1.003107147e+02
151,1420052173.913043,-1.003093719e+02
152,1420056521.739130,-1.004607544e+02
153,1420060869.565217,-1.002945404e+02
154,1420065217.391304,-1.003049850e+02
155,1420069565.217391,-1.002344513e+02
156,1420073913.043478,-1.002458496e+02
157,1420078260.869565,-1.001262283e+02
158,1420082608.695652,-1.000590668e+02
159,1420086956.521739,-1.000673981e+02
160,1420091304.347826,-1.001861191e+02
161,1420095652.173913,-1.002446289e+02
162,1420100000.000000,-1.001114197e+02
163,1420104347.826087,-1.002950134e+02
164,1420108695.652174,-1.001193771e+02
165,1420113043.478261,-1.003270493e+02
166,1420117391.304348,-1.003176422e+02
167,1420121739.130435,-1.003523788e+02
168,1420126086.956522,-1.003146057e+02
169,1420130434.782609,-1.003771057e+02
170,1420134782.608696,-1.003747559e+02
171,1420139130.434783,-1.002653427e+02
172,1420143478.260870,-1.003070526e+02
173,1420147826.086957,-1.003575439e+02
174,1420152173.913043,-1.004507141e+02
175,1420156521.739130,-1.004253464e+02
176,1420160869.565217,-1.001675415e+02
177,1420165217.391304,-1.002834702e+02
178,1420169565.217391,-1.003542023e+02
179,1420173913.043478,-1.003557358e+02
180,1420178260.869565,-1.003267059e+02
181,1420182608.695652,-1.002831573e+02
182,1420186956.521739,-1.002208099e+02
183,1420191304.347826,-1.002951431e+02
