Title:,Trace 1
Model:,N9320B
Serial Number:,CN03230304
Center Frequency:,1420400000.000000,Hz
Span:,2000000.000000,Hz
Resolution Bandwidth:,30000.000000,Hz
Video Bandwidth:,30000.000000,Hz
Reference Level:,-95.000000,dBm
Sweep Time:,1.000000,s
Num Points:,461
Units,Hz,dBm
No.,Frequecncy(Hz),Amplitude(dBm)
184,1420195652.173913,-1.010764694e+02
185,1420200000.000000,-1.010811157e+02
186,1420204347.826087,-1.010556717e+02
187,1420208695.652174,-1.011278915e+02
188,1420213043.478261,-1.011886597e+02
189,1420217391.304348,-1.010158463e+02
190,1420221739.130435,-1.011510391e+02
191,1420226086.956522,-1.011241150e+02
192,1420230434.782609,-1.010350571e+02
193,1420234782.608696,-1.010846786e+02
194,1420239130.434783,-1.009391327e+02
195,1420243478.260870,-1.011276932e+02
196,1420247826.086957,-1.011682205e+02
197,1420252173.913043,-1.011147919e+02
198,1420256521.739130,-1.011457367e+02
199,1420260869.565217,-1.010412979e+02
200,1420265217.391304,-1.012136383e+02
201,1420269565.217391,-1.011719589e+02
202,1420273913.043478,-1.010739975e+02
203,1420278260.869565,-1.011118546e+02
204,1420282608.695652,-1.011810150e+02
205,1420286956.521739,-1.010418091e+02
206,1420291304.347826,-1.009439468e+02
207,1420295652.173913,-1.008614578e+02
208,1420300000.000000,-1.009748535e+02
209,1420304347.826087,-1.008716583e+02
210,1420308695.652174,-1.008295975e+02
211,1420313043.478261,-1.009227448e+02
212,1420317391.304348,-1.008835373e+02
213,1420321739.130435,-1.008114014e+02
214,1420326086.956522,-1.008465271e+02
215,1420330434.782609,-1.007485046e+02
216,1420334782.608696,-1.006409149e+02
217,1420339130.434783,-1.005739212e+02
218,1420343478.260870,-1.005853806e+02
219,1420347826.086957,-1.005283127e+02
220,1420352173.913043,-1.004109955e+02
221,1420356521.739130,-1.004328079e+02
222,1420360869.565217,-1.003508759e+02
223,1420365217.391304,-1.002902069e+02
224,1420369565.217391,-1.002834549e+02
225,1420373913.043478,-1.000729980e+02
226,1420378260.869565,-1.001837997e+02
227,1420382608.695652,-1.002395401e+02
228,1420386956.521739,-1.001259918e+02
229,1420391304.347826,-1.002816467e+02
230,1420395652.173913,-1.002202301e+02
231,1420400000.000000,-1.002290955e+02
232,1420404347.826087,-1.004033813e+02
233,1420408695.652174,-1.003437119e+02
234,1420413043.478261,-1.004325943e+02
235,1420417391.304348,-1.003658600e+02
236,1420421739.130435,-1.003032684e+02
237,1420426086.956522,-1.002794189e+02
238,1420430434.782609,-1.003857117e+02
239,1420434782.608696,-1.003817368e+02
240,1420439130.434783,-1.004268570e+02
241,1420443478.260870,-1.004221649e+02
242,1420447826.086957,-1.004949341e+02
243,1420452173.913043,-1.003732758e+02
244,1420456521.739130,-1.005564499e+02
245,1420460869.565217,-1.005743790e+02
246,1420465217.391304,-1.006125641e+02
247,1420469565.217391,-1.005431900e+02
248,1420473913.043478,-1.006398010e+02
249,1420478260.869565,-1.006846924e+02
250,1420482608.695652,-1.007619324e+02
251,1420486956.521739,-1.006528168e+02
252,1420491304.347826,-1.006872940e+02
253,1420495652.173913,-1.007571564e+02
254,1420500000.000000,-1.008135605e+02
255,1420504347.826087,-1.007762070e+02
256,1420508695.652174,-1.009524612e+02
257,1420513043.478261,-1.008210526e+02
258,1420517391.304348,-1.008423309e+02
259,1420521739.130435,-1.008590622e+02
260,1420526086.956522,-1.007583389e+02
261,1420530434.782609,-1.007902832e+02
262,1420534782.608696,-1.007661133e+02
263,1420539130.434783,-1.008121643e+02
264,1420543478.260870,-1.007843018e+02
265,1420547826.086957,-1.008211212e+02
266,1420552173.913043,-1.008739777e+02
267,1420556521.739130,-1.008146439e+02
268,1420560869.565217,-1.007461243e+02
269,1420565217.391304,-1.007618027e+02
270,1420569565.217391,-1.008438797e+02
271,1420573913.043478,-1.008255920e+02
272,1420578260.869565,-1.008589706e+02
273,1420582608.695652,-1.009254379e+02
274,1420586956.521739,-1.007114716e+02
275,1420591304.347826,-1.007773438e+02
276,1420595652.173913,-1.008129883e+02
277,1420600000.000000,-1.007473450e+02
278,1420604347.826087,-1.007920532e+02
279,1420608695.652174,-1.007789688e+02
280,1420613043.478261,-1.007448578e+02
281,1420617391.304348,-1.007282944e+02
282,1420621739.130435,-1.006782303e+02
283,1420626086.956522,-1.008289261e+02
284,1420630434.782609,-1.008461304e+02
285,1420634782.608696,-1.008763123e+02
286,1420639130.434783,-1.008919678e+02
287,1420643478.260870,-1.008416519e+02
288,1420647826.086957,-1.009028702e+02
289,1420652173.913043,-1.008060913e+02
290,1420656521.739130,-1.008744583e+02
291,1420660869.565217,-1.008707199e+02
292,1420665217.391304,-1.009966736e+02
293,1420669565.217391,-1.009123383e+02
294,1420673913.043478,-1.007135620e+02
295,1420678260.869565,-1.007614746e+02
296,1420682608.695652,-1.009083557e+02
297,1420686956.521739,-1.008174362e+02
298,1420691304.347826,-1.007892838e+02
299,1420695652.173913,-1.007973328e+02
300,1420700000.000000,-1.008160019e+02
301,1420704347.826087,-1.008078156e+02
302,1420708695.652174,-1.008047256e+02
303,1420713043.478261,-1.008206177e+02
304,1420717391.304348,-1.007448807e+02
305,1420721739.130435,-1.006996536e+02
306,1420726086.956522,-1.008219299e+02
307,1420730434.782609,-1.008462601e+02
308,1420734782.608696,-1.007849274e+02
309,1420739130.434783,-1.007274399e+02
310,1420743478.260870,-1.007832489e+02
311,1420747826.086957,-1.007455444e+02
312,1420752173.913043,-1.007807617e+02
313,1420756521.739130,-1.007307892e+02
314,1420760869.565217,-1.007343216e+02
315,1420765217.391304,-1.006948547e+02
316,1420769565.217391,-1.007592468e+02
317,1420773913.043478,-1.007271423e+02
318,1420778260.869565,-1.007425919e+02
319,1420782608.695652,-1.007278519e+02
320,1420786956.521739,-1.007116547e+02
321,1420791304.347826,-1.006832733e+02
322,1420795652.173913,-1.008265457e+02
323,1420800000.000000,-1.008227539e+02
324,1420804347.826087,-1.008241119e+02
325,1420808695.652174,-1.008894348e+02
326,1420813043.478261,-1.008460846e+02
327,1420817391.304348,-1.008366318e+02
328,1420821739.130435,-1.009294357e+02
329,1420826086.956522,-1.009033737e+02
330,1420830434.782609,-1.009528275e+02
331,1420834782.608696,-1.009133759e+02
332,1420839130.434783,-1.010113831e+02
333,1420843478.260870,-1.009956055e+02
334,1420847826.086957,-1.009252930e+02
335,1420852173.913043,-1.010258636e+02
336,1420856521.739130,-1.009718857e+02
337,1420860869.565217,-1.010111313e+02
338,1420865217.391304,-1.009862595e+02
339,1420869565.217391,-1.011015091e+02
340,1420873913.043478,-1.009884415e+02
341,1420878260.869565,-1.010836868e+02
342,1420882608.695652,-1.010818939e+02
343,1420886956.521739,-1.010713959e+02
344,1420891304.347826,-1.010336304e+02
345,1420895652.173913,-1.011773453e+02
346,1420900000.000000,-1.011312408e+02
347,1420904347.826087,-1.010339203e+02
348,1420908695.652174,-1.011204453e+02
349,1420913043.478261,-1.010107117e+02
350,1420917391.304348,-1.010155411e+02
351,1420921739.130435,-1.009167252e+02
352,1420926086.956522,-1.009304428e+02
353,1420930434.782609,-1.009727249e+02
354,1420934782.608696,-1.009937210e+02
355,1420939130.434783,-1.010411835e+02
356,1420943478.260870,-1.010414505e+02
357,1420947826.086957,-1.009698029e+02
358,1420952173.913043,-1.010490723e+02
359,1420956521.739130,-1.010101318e+02
