Title:,Trace 1
Model:,N9320B
Serial Number:,CN03230304
Center Frequency:,1420400000.000000,Hz
Span:,2000000.000000,Hz
Resolution Bandwidth:,30000.000000,Hz
Video Bandwidth:,30000.000000,Hz
Reference Level:,-95.000000,dBm
Sweep Time:,1.000000,s
Num Points:,461
Units,Hz,dBm
No.,Frequecncy(Hz),Amplitude(dBm)
1,1419400000.000000,-9.953974152e+01
2,1419404347.826087,-9.932156372e+01
3,1419408695.652174,-9.935234070e+01
4,1419413043.478261,-9.934167480e+01
5,1419417391.304348,-9.914230347e+01
6,1419421739.130435,-9.927789307e+01
7,1419426086.956522,-9.937240601e+01
8,1419430434.782609,-9.926337433e+01
9,1419434782.608696,-9.935250854e+01
10,1419439130.434783,-9.940773010e+01
11,1419443478.260870,-9.931629181e+01
12,1419447826.086957,-9.930996704e+01
13,1419452173.913043,-9.932891846e+01
14,1419456521.739130,-9.939082336e+01
15,1419460869.565217,-9.927622223e+01
16,1419465217.391304,-9.929595184e+01
17,1419469565.217391,-9.924185944e+01
18,1419473913.043478,-9.918675232e+01
19,1419478260.869565,-9.921582794e+01
20,1419482608.695652,-9.923211670e+01
21,1419486956.521739,-9.934558105e+01
22,1419491304.347826,-9.928350067e+01
23,1419495652.173913,-9.935137177e+01
24,1419500000.000000,-9.938254547e+01
25,1419504347.826087,-9.924869537e+01
26,1419508695.652174,-9.925135040e+01
27,1419513043.478261,-9.929009247e+01
28,1419517391.304348,-9.934135437e+01
29,1419521739.130435,-9.924881744e+01
30,1419526086.956522,-9.913752747e+01
31,1419530434.782609,-9.925498199e+01
32,1419534782.608696,-9.937889099e+01
33,1419539130.434783,-9.921588135e+01
34,1419543478.260870,-9.940341187e+01
35,1419547826.086957,-9.924492645e+01
36,1419552173.913043,-9.921006775e+01
37,1419556521.739130,-9.951051331e+01
38,1419560869.565217,-9.941082764e+01
39,1419565217.391304,-9.933203888e+01
40,1419569565.217391,-9.932044983e+01
41,1419573913.043478,-9.923089600e+01
42,1419578260.869565,-9.930266571e+01
43,1419582608.695652,-9.942414093e+01
44,1419586956.521739,-9.929920959e+01
45,1419591304.347826,-9.934153748e+01
46,1419595652.173913,-9.937441254e+01
47,1419600000.000000,-9.928174591e+01
48,1419604347.826087,-9.924337769e+01
49,1419608695.652174,-9.916604614e+01
50,1419613043.478261,-9.921125031e+01
51,1419617391.304348,-9.906042480e+01
52,1419621739.130435,-9.924407196e+01
53,1419626086.956522,-9.939054108e+01
54,1419630434.782609,-9.939942169e+01
55,1419634782.608696,-9.924660492e+01
56,1419639130.434783,-9.936879730e+01
57,1419643478.260870,-9.933053589e+01
58,1419647826.086957,-9.924524689e+01
59,1419652173.913043,-9.937637329e+01
60,1419656521.739130,-9.933515167e+01
61,1419660869.565217,-9.917539215e+01
62,1419665217.391304,-9.931349945e+01
63,1419669565.217391,-9.943182373e+01
64,1419673913.043478,-9.941679382e+01
65,1419678260.869565,-9.931055450e+01
66,1419682608.695652,-9.946261597e+01
67,1419686956.521739,-9.915070343e+01
68,1419691304.347826,-9.926079559e+01
69,1419695652.173913,-9.938415527e+01
70,1419700000.000000,-9.925234222e+01
71,1419704347.826087,-9.936491394e+01
72,1419708695.652174,-9.930969238e+01
73,1419713043.478261,-9.945399475e+01
74,1419717391.304348,-9.936735535e+01
75,1419721739.130435,-9.941877747e+01
76,1419726086.956522,-9.931349182e+01
77,1419730434.782609,-9.950537109e+01
78,1419734782.608696,-9.944087219e+01
79,1419739130.434783,-9.932151031e+01
80,1419743478.260870,-9.942259216e+01
81,1419747826.086957,-9.934218597e+01
82,1419752173.913043,-9.941270447e+01
83,1419756521.739130,-9.956350708e+01
84,1419760869.565217,-9.950195313e+01
85,1419765217.391304,-9.956519318e+01
86,1419769565.217391,-9.943701935e+01
87,1419773913.043478,-9.930909729e+01
88,1419778260.869565,-9.927694702e+01
89,1419782608.695652,-9.925781250e+01
90,1419786956.521739,-9.931768799e+01
91,1419791304.347826,-9.930183411e+01
92,1419795652.173913,-9.923758698e+01
93,1419800000.000000,-9.918508911e+01
94,1419804347.826087,-9.928561401e+01
95,1419808695.652174,-9.936804962e+01
96,1419813043.478261,-9.937537384e+01
97,1419817391.304348,-9.944216919e+01
98,1419821739.130435,-9.935206604e+01
99,1419826086.956522,-9.922446442e+01
100,1419830434.782609,-9.929116821e+01
101,1419834782.608696,-9.944516754e+01
102,1419839130.434783,-9.928165436e+01
103,1419843478.260870,-9.930343628e+01
104,1419847826.086957,-9.923548889e+01
105,1419852173.913043,-9.928427124e+01
106,1419856521.739130,-9.939185333e+01
107,1419860869.565217,-9.941181183e+01
108,1419865217.391304,-9.935498047e+01
109,1419869565.217391,-9.940825653e+01
110,1419873913.043478,-9.941036987e+01
111,1419878260.869565,-9.943440247e+01
112,1419882608.695652,-9.932203674e+01
113,1419886956.521739,-9.927926636e+01
114,1419891304.347826,-9.934631348e+01
115,1419895652.173913,-9.929408264e+01
116,1419900000.000000,-9.935125732e+01
117,1419904347.826087,-9.927764893e+01
118,1419908695.652174,-9.921144867e+01
119,1419913043.478261,-9.934336853e+01
120,1419917391.304348,-9.936469269e+01
121,1419921739.130435,-9.936621857e+01
122,1419926086.956522,-9.938574219e+01
123,1419930434.782609,-9.945407104e+01
124,1419934782.608696,-9.935229492e+01
125,1419939130.434783,-9.927593994e+01
126,1419943478.260870,-9.921409607e+01
127,1419947826.086957,-9.937001038e+01
128,1419952173.913043,-9.930429077e+01
129,1419956521.739130,-9.942024231e+01
130,1419960869.565217,-9.906687164e+01
131,1419965217.391304,-9.920832062e+01
132,1419969565.217391,-9.920581055e+01
133,1419973913.043478,-9.920756531e+01
134,1419978260.869565,-9.912258911e+01
135,1419982608.695652,-9.940294647e+01
136,1419986956.521739,-9.933473969e+01
137,1419991304.347826,-9.925072479e+01
138,1419995652.173913,-9.923176575e+01
139,1420000000.000000,-9.919033813e+01
140,1420004347.826087,-9.931880188e+01
141,1420008695.652174,-9.937207794e+01
142,1420013043.478261,-9.927341461e+01
143,1420017391.304348,-9.918570709e+01
144,1420021739.130435,-9.933353424e+01
145,1420026086.956522,-9.926040649e+01
146,1420030434.782609,-9.933702850e+01
147,1420034782.608696,-9.918215942e+01
148,1420039130.434783,-9.932035828e+01
149,1420043478.260870,-9.928031158e+01
150,1420047826.086957,-9.938524628e+01
151,1420052173.913043,-9.929201508e+01
152,1420056521.739130,-9.928815460e+01
153,1420060869.565217,-9.937998962e+01
154,1420065217.391304,-9.937867737e+01
155,1420069565.217391,-9.928102875e+01
156,1420073913.043478,-9.942231750e+01
157,1420078260.869565,-9.926594543e+01
158,1420082608.695652,-9.918930817e+01
159,1420086956.521739,-9.922422028e+01
160,1420091304.347826,-9.909331512e+01
161,1420095652.173913,-9.915624237e+01
162,1420100000.000000,-9.944878387e+01
163,1420104347.826087,-9.947575378e+01
164,1420108695.652174,-9.938794708e+01
165,1420113043.478261,-9.934865570e+01
166,1420117391.304348,-9.933930206e+01
167,1420121739.130435,-9.940853119e+01
168,1420126086.956522,-9.963228607e+01
169,1420130434.782609,-9.944844818e+01
170,1420134782.608696,-9.942084503e+01
171,1420139130.434783,-9.936246490e+01
172,1420143478.260870,-9.935106659e+01
173,1420147826.086957,-9.928026581e+01
174,1420152173.913043,-9.930278778e+01
175,1420156521.739130,-9.931312561e+01
176,1420160869.565217,-9.924275208e+01
177,1420165217.391304,-9.941107178e+01
178,1420169565.217391,-9.934118652e+01
179,1420173913.043478,-9.924517059e+01
180,1420178260.869565,-9.931707764e+01
181,1420182608.695652,-9.928657532e+01
182,1420186956.521739,-9.922508240e+01
183,1420191304.347826,-9.917165375e+01
